,first_name,last_name,position,team,GP,G,A,PTS,PIM
126,Kevin,Hayes, C ,PHI,69,23,18,41,34
127,Zach,Werenski, D ,CBJ,63,20,21,41,10
128,Jason,Zucker, LW,PIT/MIN,60,20,21,41,21
129,Mikko,Rantanen, RW,COL,42,19,22,41,14
130,Ondrej,Palat, LW,TB,69,17,24,41,22
131,Nick,Suzuki, C ,MTL,71,13,28,41,6
132,Aaron,Ekblad, D ,FLA,67,5,36,41,26
133,Anthony,Duclair, LW,OTT,66,23,17,40,18
134,James,van Riemsdyk, LW,PHI,66,19,21,40,8
135,Jordan,Eberle, RW,NYI,58,16,24,40,12
136,Dougie,Hamilton, D ,CAR,47,14,26,40,32
137,Jeff,Petry, D ,MTL,71,11,29,40,26
138,Erik,Karlsson, D ,SJ,56,6,34,40,16
139,Rasmus,Dahlin, D ,BUF,59,4,36,40,38
140,Conor,Garland, RW,ARI,68,22,17,39,20
141,Jakob,Silfverberg, LW,ANA,66,21,18,39,14
142,Jamie,Benn, LW,DAL,69,19,20,39,53
143,Anthony,Beauvillier, LW,NYI,68,18,21,39,15
144,Logan,Couture, C ,SJ,52,16,23,39,18
145,Lars,Eller, C ,WSH,69,16,23,39,48
146,Thomas,Chabot, D ,OTT,71,6,33,39,42
147,Tyson,Barrie, D ,TOR,70,5,34,39,16
148,Christian,Dvorak, C ,ARI,70,18,20,38,12
149,Paul,Stastny, C ,VGS,71,17,21,38,24
150,Anthony,Mantha, RW,DET,43,16,22,38,34
151,Phil,Kessel, RW,ARI,70,14,24,38,22
152,Dylan,Strome, C ,CHI,58,12,26,38,16
153,Vincent,Trocheck, C ,CAR/FLA,62,11,27,38,49
154,Ryan,Ellis, D ,NSH,49,8,30,38,19
155,Zach,Hyman, C ,TOR,51,21,16,37,23
156,Tyler,Ennis, LW,EDM/OTT,70,16,21,37,20
157,Charlie,Coyle, C ,BOS,70,16,21,37,21
158,Mats,Zuccarello, RW,MIN,65,15,22,37,18
159,Chris,Tierney, C ,OTT,71,11,26,37,20
160,Oliver,Bjorkstrand, RW,CBJ,49,21,15,36,12
161,Nazem,Kadri, C ,COL,51,19,17,36,97
162,Jake,Virtanen, RW,VAN,69,18,18,36,41
163,Tomas,Hertl, C ,SJ,48,16,20,36,16
164,Martin,Necas, C ,CAR,64,16,20,36,20
165,Shea,Weber, D ,MTL,65,15,21,36,33
166,Ryan,Johansen, C ,NSH,68,14,22,36,45
167,Nico,Hischier, C ,NJ,58,14,22,36,12
168,Kasperi,Kapanen, RW,TOR,69,13,23,36,22
169,Ivan,Provorov, D ,PHI,69,13,23,36,24
170,Jaccob,Slavin, D ,CAR,68,6,30,36,10
171,Jake,DeBrusk, LW,BOS,65,19,16,35,14
172,Nick,Bonino, C ,NSH,67,18,17,35,16
173,Dustin,Brown, RW,LA,66,17,18,35,22
174,Carl,Soderberg, C ,ARI,70,17,18,35,18
175,Jared,McCann, C ,PIT,66,14,21,35,17
176,Ryan,Pulock, D ,NYI,68,10,25,35,14
177,Miro,Heiskanen, D ,DAL,68,8,27,35,12
178,Drew,Doughty, D ,LA,67,7,28,35,36
179,Frank,Vatrano, C ,FLA,69,16,18,34,30
180,Alexander,Radulov, RW,DAL,60,15,19,34,46
181,Zack,Kassian, RW,EDM,59,15,19,34,69
182,Calle,Jarnkrok, C ,NSH,64,15,19,34,14
183,Mikhail,Sergachev, D ,TB,70,10,24,34,58
184,Kevin,Shattenkirk, D ,TB,70,8,26,34,38
185,Oscar,Klefbom, D ,EDM,62,5,29,34,24
186,Samuel,Girard, D ,COL,70,4,30,34,17
187,Brandon,Saad, LW,CHI,58,21,12,33,16
188,Roope,Hintz, LW,DAL,60,19,14,33,16
189,Brett,Connolly, RW,FLA,69,19,14,33,26
190,Joonas,Donskoi, RW,COL,65,16,17,33,26
191,Kevin,Labanc, RW,SJ,70,14,19,33,38
192,Adam,Gaudette, C ,VAN,59,12,21,33,37
193,Matt,Niskanen, D ,PHI,68,8,25,33,29
194,Mattias,Ekholm, D ,NSH,68,8,25,33,32
195,Rasmus,Ristolainen, D ,BUF,69,6,27,33,46
196,Alexander,Edler, D ,VAN,59,5,28,33,62
