,first_name,last_name,GP,G,A,PTS,PIM
521,Slater,Koekkoek,42,1,9,10,42
522,Dylan,DeMelo,59,0,10,10,37
523,Stefan,Noesen,40,7,2,9,32
524,Christian,Fischer,56,6,3,9,16
525,Luke,Glendening,60,6,3,9,14
526,Greg,McKegg,53,5,4,9,17
527,Dmytro,Timashov,44,4,5,9,16
528,Caleb,Jones,43,4,5,9,10
529,Jordan,Kyrou,28,4,5,9,8
530,Casey,Mittelstadt,31,4,5,9,2
531,Frans,Nielsen,60,4,5,9,8
532,Erik,Gudbranson,51,4,5,9,95
533,Kevin,Rooney,49,4,5,9,20
534,Markus,Nutivaara,37,3,6,9,4
535,Joakim,Nygard,33,3,6,9,8
536,Jonas,Siegenthaler,64,2,7,9,43
537,Radim,Simek,48,2,7,9,14
538,Brayden,McNabb,71,2,7,9,40
539,Taylor,Fedun,27,2,7,9,8
540,Ryan,Murray,27,2,7,9,4
541,Jacob,De La Rose,50,2,7,9,10
542,Jay,Bouwmeester,56,1,8,9,20
543,Patrik,Nemeth,64,1,8,9,28
544,Josh,Manson,50,1,8,9,37
545,Adam,Pelech,38,1,8,9,20
546,Kris,Russell,55,0,9,9,14
547,Martin,Frk,17,6,2,8,4
548,Jesperi,Kotkaniemi,36,6,2,8,23
549,Bobby,Ryan,24,5,3,8,22
550,Matt,Martin,55,5,3,8,40
551,Mason,Appleton,46,5,3,8,20
552,Tyler,Motte,34,4,4,8,10
553,Brendan,Guhle,30,4,4,8,10
554,Brendan,Smith,62,3,5,8,71
555,Kurtis,MacDermid,45,3,5,8,47
556,Josh,Brown,56,3,5,8,39
557,Andrej,Sekera,57,2,6,8,14
558,Jay,Beagle,55,2,6,8,38
559,Dennis,Cholowski,36,2,6,8,6
560,Brian,Dumoulin,28,1,7,8,10
561,Nathan,Beaulieu,38,1,7,8,29
562,Scott,Harrington,39,1,7,8,16
563,Cody,Ceci,56,1,7,8,20
564,Trevor,van Riemsdyk,49,1,7,8,10
565,Matthew,Benning,43,1,7,8,15
