,first_name,last_name,team,position
435,Leo,Komarov,NYI, C 
436,Nikolai,Prokhorkin,LA, LW
437,Haydn,Fleury,CAR, D 
438,Andrew,Cogliano,DAL, C 
439,Andy,Greene,NJ/NYI, D 
440,Brenden,Dillon,SJ/WSH, D 
441,Ryan,Lindgren,NYR, D 
442,Carter,Verhaeghe,TB, C 
443,Nicolas,Deslauriers,ANA, LW
444,Antoine,Roussel,VAN, LW
445,Zach,Aston-Reese,PIT, C 
446,Alexandre,Texier,CBJ, C 
447,Loui,Eriksson,VAN, LW
448,Sam,Gagner,DET/EDM, C 
449,Sammy,Blais,STL, LW
450,Sam,Lafferty,PIT, C 
451,Scott,Mayfield,NYI, D 
452,Victor,Rask,MIN, C 
453,Adam,Boqvist,CHI, D 
454,Marco,Scandella,BUF/MTL/STL, D 
455,Nikita,Zadorov,COL, D 
456,Jake,McCabe,BUF, D 
457,Robert,Hagg,PHI, D 
458,Jordan,Oesterle,ARI, D 
459,Jordan,Martinook,CAR, LW
460,Sam,Bennett,CGY, C 
461,Max,Jones,ANA, LW
462,Frederik,Gauthier,TOR, C 
463,Eric,Robinson,CBJ, LW
464,Trevor,Lewis,LA, C 
465,Melker,Karlsson,SJ, RW
466,Shayne,Gostisbehere,PHI, D 
467,Devin,Shore,ANA/CBJ, C 
468,Erik,Cernak,TB, D 
469,Cody,Glass,VGS, C 
470,Denis,Malgin,TOR/FLA, C 
471,Travis,Hamonic,CGY, D 
472,Justin,Schultz,PIT, D 
473,Ron,Hainsey,OTT, D 
474,Ryan,McDonagh,TB, D 
475,Nikita,Zaitsev,OTT, D 
476,Justin,Williams,CAR, RW
477,Michael,Grabner,ARI, RW
478,Austin,Wagner,LA, LW
479,Brad,Richardson,ARI, C 
480,Dylan,Gambrell,SJ, C 
481,Dante,Fabbro,NSH, D 
482,Max,Comtois,ANA, LW
483,Travis,Dermott,TOR, D 
484,Dominic,Toninato,FLA, C 
485,Victor,Mete,MTL, D 
486,Zack,Smith,CHI, C 
487,Mike,Green,DET/EDM, D 
488,Jack,Johnson,PIT, D 
489,Brendan,Leipsic,WSH, LW
490,Jacob,Larsson,ANA, D 
491,Mario,Ferraro,SJ, D 
492,Johnny,Boychuk,NYI, D 
493,Marc,Staal,NYR, D 
494,Nicolas,Hague,VGS, D 
495,Colin,Miller,BUF, D 
496,Jason,Demers,ARI, D 
497,David,Savard,CBJ, D 
498,Mackenzie,MacEachern,STL, LW
499,Chris,Wagner,BOS, RW
500,Jujhar,Khaira,EDM, LW
501,Trevor,Moore,LA/TOR, LW
502,Evan,Rodrigues,BUF/PIT, RW
503,Kevin,Stenlund,CBJ, C 
504,Curtis,Lazar,BUF, RW
505,Nicolas,Roy,VGS, C 
506,Gaetan,Haas,EDM, C 
507,Nathan,Gerbe,CBJ, LW
508,Paul,Byron,MTL, C 
509,Adam,Lowry,WPG, C 
510,Tobias,Rieder,CGY, C 
511,Michael,Dal Colle,NYI, LW
512,Vladimir,Tarasenko,STL, RW
513,Jamie,Oleksiak,DAL, D 
514,Andrew,Shaw,CHI, C 
515,Travis,Boyd,WSH, C 
516,Jayce,Hawryluk,OTT/FLA, C 
517,Colin,Blackwell,NSH, C 
518,Drake,Batherson,OTT, RW
519,Luca,Sbisa,WPG, D 
520,Dmitry,Kulikov,WPG, D 
521,Slater,Koekkoek,CHI, D 
522,Dylan,DeMelo,OTT/WPG, D 
523,Stefan,Noesen,PIT/SJ, RW
524,Christian,Fischer,ARI, RW
525,Luke,Glendening,DET, C 
526,Greg,McKegg,NYR, C 
527,Dmytro,Timashov,DET/TOR, LW
528,Caleb,Jones,EDM, D 
529,Jordan,Kyrou,STL, C 
530,Casey,Mittelstadt,BUF, C 
531,Frans,Nielsen,DET, C 
532,Erik,Gudbranson,PIT/ANA, D 
533,Kevin,Rooney,NJ, C 
534,Markus,Nutivaara,CBJ, D 
535,Joakim,Nygard,EDM, LW
536,Jonas,Siegenthaler,WSH, D 
537,Radim,Simek,SJ, D 
538,Brayden,McNabb,VGS, D 
539,Taylor,Fedun,DAL, D 
540,Ryan,Murray,CBJ, D 
541,Jacob,De La Rose,DET/STL, LW
542,Jay,Bouwmeester,STL, D 
543,Patrik,Nemeth,DET, D 
544,Josh,Manson,ANA, D 
545,Adam,Pelech,NYI, D 
546,Kris,Russell,EDM, D 
547,Martin,Frk,LA, RW
548,Jesperi,Kotkaniemi,MTL, C 
549,Bobby,Ryan,OTT, RW
550,Matt,Martin,NYI, LW
551,Mason,Appleton,WPG, C 
552,Tyler,Motte,VAN, C 
553,Brendan,Guhle,ANA, D 
554,Brendan,Smith,NYR, D 
555,Kurtis,MacDermid,LA, D 
556,Josh,Brown,FLA, D 
557,Andrej,Sekera,DAL, D 
558,Jay,Beagle,VAN, C 
559,Dennis,Cholowski,DET, D 
560,Brian,Dumoulin,PIT, D 
561,Nathan,Beaulieu,WPG, D 
562,Scott,Harrington,CBJ, D 
563,Cody,Ceci,TOR, D 
564,Trevor,van Riemsdyk,CAR, D 
565,Matthew,Benning,EDM, D 
566,Vladislav,Kamenev,COL, LW
567,Logan,Brown,OTT, C 
568,Rasmus,Sandin,TOR, D 
569,Dan,Hamhuis,NSH, D 
570,Nick,Jensen,WSH, D 
571,Anthony,Bitetto,WPG, D 
572,Mark,Jankowski,CGY, C 
573,Mathieu,Joseph,TB, RW
574,Joakim,Nordstrom,BOS, LW
575,Gabriel,Vilardi,LA, C 
576,Joel,Kellman,SJ, C 
577,Cal,Clutterbuck,NYI, RW
578,Jansen,Harkins,WPG, C 
579,Oliver,Kylington,CGY, D 
580,Morgan,Frost,PHI, C 
581,Taro,Hirose,DET, LW
582,Carl,Gunnarsson,STL, D 
583,Michael,Stone,CGY, D 
584,Mirco,Mueller,NJ, D 
585,Jon,Merrill,VGS, D 
586,Jan,Rutta,TB, D 
587,Antti,Suomela,SJ, C 
588,Noah,Dobson,NYI, D 
589,Juuso,Riikola,PIT, D 
590,Zach,Bogosian,BUF/TB, D 
591,Jordie,Benn,VAN, D 
592,Trevor,Daley,DET, D 
593,Brett,Kulak,MTL, D 
594,Tim,Schaller,LA/VAN, LW
595,Zack,MacEwen,VAN, C 
596,Joey,Anderson,NJ, RW
597,Tom,Kuhnhackl,NYI, RW
598,Nick,Shore,TOR/WPG, C 
